NHDPlusID,pop,income
60000700017759,5318,78393
60000700006840,2289,92808
60000700008925,3260,29943
60000700001893,5681,61726
60000700012637,433,122494
60000700000485,1950,127935
60000700000704,442,58525
60000700017438,1646,33063
60000700017915,3476,26091
60000700008465,7467,116488
60000700016161,6805,52546
60000700002236,5057,56913
60000700013130,7013,82198
60000700004654,5504,104004
60000700016671,1927,104721
60000700007645,6394,81555
60000700010011,5339,49282
60000700016551,6585,49195
60000700014531,5205,56051
60000700002009,2997,66989
60000700017367,542,35212
60000700001746,2914,100164
60000700017677,5003,72409
60000700017429,5473,58301
60000700002271,2405,84134
60000700001605,4917,62385
60000700004285,2394,36324
60000700012634,3761,60165
60000700012440,7131,125328
60000700017160,4376,83697
60000700008045,3592,89443
60000700003016,4563,115457
60000700011128,1679,69981
60000700012575,4934,106628
60000700002867,6395,130516
60000700010070,3104,102521
60000700010012,1472,26486
60000700003629,6195,63238
60000700006267,6930,96558
60000700016474,3623,31453
60000700003872,2187,102149
60000700016359,7595,42523
60000700011378,7658,50444
60000700000836,1873,87105
60000700002734,6414,84309
60000700007670,630,46570
60000700007789,2398,116759
60000700017346,5242,28356
60000700017669,946,99278
60000700000259,4205,68959
60000700017660,748,71352
60000700010590,3777,45231
60000700002841,1676,124247
60000700007356,1051,51378
60000700006990,2199,58319
60000700016249,1349,119914
60000700013559,7876,131156
60000700012441,5014,85569
60000700005305,6156,88890
60000700002848,1679,57210
60000700008853,3116,102321
60000700007798,2041,69029
60000700004653,1777,85877
60000700003656,6871,121013
60000700000027,2902,25892
60000700017856,5783,99941
60000700017161,6172,64921
60000700000232,2456,92662
60000700016061,2618,78115
60000700016152,7960,127924
60000700001270,6053,136652
60000700017540,2964,83595
60000700016360,7956,43489
60000700017736,2204,72791
60000700002124,2912,73993
60000700009342,7355,101642
60000700017521,7189,53273
60000700015283,6570,46697
60000700005948,3595,46138
60000700010017,7571,119097
60000700002870,7166,100464
60000700011257,4582,48357
60000700013488,875,35672
60000700003637,4105,27543
60000700001355,5237,112247
60000700017323,1274,128910
60000700005517,3691,125280
60000700001408,5777,58075
60000700006395,7723,43038
60000700015656,3838,131674
60000700002863,5962,33294
60000700009344,3502,91454
60000700004241,3588,137212
60000700007907,3933,47528
60000700017860,2006,130026
60000700016228,7684,79130
60000700002347,5125,85007
60000700003511,7601,71029
60000700016611,1474,131796
60000700004526,5776,91421
60000700001479,4917,107010
60000700001715,5134,77301
60000700003017,7025,82018
60000700003133,1726,43918
60000700016500,7213,91518
60000700002239,4505,117478
60000700004988,1913,93389
60000700002840,6502,93586
60000700017920,3205,100751
60000700004481,3914,105495
60000700012966,7714,49688
60000700006008,3113,61321
60000700005434,3891,100959
60000700009652,4614,90148
60000700012831,6787,117640
60000700007262,7683,59446
60000700008469,5044,46438
60000700003134,6876,128275
60000700004864,6544,134562
60000700003667,1522,80241
60000700005389,4246,103309
60000700006133,2059,104986
60000700015097,7543,133868
60000700014795,6504,129101
60000700017844,612,45709
60000700012578,7637,50486
60000700012176,1450,92908
60000700015781,3543,98223
60000700005688,1036,128388
